TAIP (ms),Respiratory Rate (breaths/min),I:E Ratio,Target Peak Pressure (cm H2O),Observed Peak Pressure (cm H2O),PEEP (cm H2O),Lung Compliance (mL / cm H2O),Airway Resistance (cm H2O / (L/s) ),Tidal Volume (mL),Flow (L/min)
0,30,2,20,6.94382287869454,5,100,3,488.308719944559,51.9271956601517
0,12,2,20,8.01783163370326,5,200,3,1227.37170952488,52.1241094857446
0,20,2,20,7.05728370549861,5,200,3,978.185058814854,54.5426780934558
0,30,2,20,7.17939196953419,5,200,3,941.10358832634,58.9395212747706
0,12,2,20,15.1375250789011,5,10,5,151.333967836546,43.5657340796221
0,20,2,20,15.0401965315587,5,10,5,150.234730076528,43.5609475525225
0,30,2,20,14.8411102298521,5,10,5,147.249623634185,43.6693410313722
0,12,2,20,14.3058775886351,5,25,5,355.808763421259,44.8719055273063
0,20,2,20,13.6061401633771,5,25,5,328.768764139543,44.9395788179544
0,30,2,20,12.2411024037064,5,25,5,273.348555141138,44.9061980168712
0,12,2,20,13.2931245978864,5,50,5,633.916924492544,46.363923991724
0,20,2,20,11.4538738984559,5,50,5,487.642885180904,46.1261059682161
0,30,2,20,9.54013509034536,5,50,5,353.275335360747,45.9233912333635
0,12,2,20,10.9792054164168,5,100,5,903.98541987171,46.9911547640194
0,20,2,20,8.93726440596902,5,100,5,617.732330085192,46.7273760048039
0,30,2,20,8.09118293928886,5,100,5,496.302130419248,48.3223514851011
0,12,2,20,8.66440305006647,5,200,5,1154.06972163575,47.364564279092
0,20,2,20,8.29326806640789,5,200,5,998.075266839439,50.7127620291247
0,30,2,20,8.28126332104786,5,200,5,887.05929957533,54.5197810040286
0,12,2,20,14.607624694794,5,10,10,145.922050072018,38.0885242880258
0,20,2,20,14.4252635957044,5,10,10,143.389685737789,38.0844130979198
0,30,2,20,14.0745116567447,5,10,10,136.230531992851,38.162923321192
0,12,2,20,14.1104845380928,5,25,10,345.286547069824,38.9824610472232
0,20,2,20,13.2873558879394,5,25,10,300.460105447009,38.9367576254456
0,30,2,20,12.1612234386468,5,25,10,236.747304066866,38.783391528005
0,12,2,20,12.990187056327,5,50,10,569.772450748413,39.3604874547155
0,20,2,20,11.6009257076666,5,50,10,414.634113455012,38.9683075033816
0,30,2,20,10.4237376268854,5,50,10,303.048940366233,38.9726408710494
0,12,2,20,11.2990672956333,5,100,10,764.586923503381,39.4863915302209
0,20,2,20,10.1100578546168,5,100,10,549.343277003969,39.7935281196726
0,30,2,20,10.265477825892,5,100,10,507.81808970183,42.7009681062996
0,12,2,20,9.98691994680951,5,200,10,1057.3567126465,41.1948316780862
0,20,2,20,10.4450284984608,5,200,10,984.993490567018,44.7537922798352
0,30,2,20,10.3449498956424,5,200,10,752.089823538949,46.9979589738381
0,12,2,20,14.5146850038169,5,10,20,144.334189230253,34.960112646912
0,20,2,20,14.1945832965223,5,10,20,137.035583898948,34.9610866861658
0,30,2,20,13.713889307286,5,10,20,121.383219438068,34.9432262631437
0,12,2,20,13.7896588853406,5,25,20,314.863439883256,35.3188962587618
0,20,2,20,13.0167849061184,5,25,20,246.799184063734,35.0347642816098
0,30,2,20,12.3431440195069,5,25,20,184.849796619316,34.9074538547246
0,12,2,20,12.8009051097103,5,50,20,456.939126935073,35.4935677947952
0,20,2,20,12.0771428738174,5,50,20,326.45171137415,35.3187812943197
0,30,2,20,11.6811788810857,5,50,20,265.776045473293,35.877434527338
0,12,2,20,11.9616727208212,5,100,20,615.532231024062,36.368784819015
0,20,2,20,11.8994995060419,5,100,20,522.421308690016,37.8082385943666
0,30,2,20,12.7918766502112,5,100,20,469.516707255546,40.4986200383719
0,12,2,20,12.1421335980157,5,200,20,1037.11137883137,39.9917297071339
0,20,2,20,12.905453079216,5,200,20,840.871211615401,42.2852683916607
0,30,2,20,12.9365498538668,5,200,20,570.86097724709,43.2734276620675
250,12,2,20,16.3071707502511,5,10,1,163.068079706523,42.6447079450508
250,20,2,20,16.2622209263216,5,10,1,162.604484078246,42.6272348561205
250,30,2,20,15.9630755167831,5,10,1,159.172100969403,42.8682224248972
250,12,2,20,14.4780172992421,5,25,1,361.737741474617,49.7211412635005
250,20,2,20,13.67215060354,5,25,1,339.266852861964,49.8550682948614
250,30,2,20,10.82590048244,5,25,1,261.128884379826,49.9710067151138
250,12,2,20,13.4594476430164,5,50,1,667.678171368659,53.7162936313798
250,20,2,20,10.4837702626428,5,50,1,503.669440702844,53.6909723627531
250,30,2,20,7.15747302150102,5,50,1,325.582726961223,53.6537374671721
250,12,2,20,10.32553953153,5,100,1,989.562211573522,56.2622807801152
250,20,2,20,6.92102324665427,5,100,1,623.813256116575,56.0916188859797
250,30,2,20,5.23626155358082,5,100,1,441.604476081979,57.9181140879859
250,12,2,20,6.82201979582268,5,200,1,1223.76805287515,57.5114474095009
250,20,2,20,5.37743782003695,5,200,1,907.95610677112,60.1099182985756
250,30,2,20,5.01797132188729,5,200,1,810.289725006253,65.0621459496576
250,12,2,20,15.6590543633257,5,10,3,156.569559453837,39.7638897734939
250,20,2,20,15.5686359586968,5,10,3,155.569688680426,39.7662598605296
250,30,2,20,15.1354103556703,5,10,3,149.368160128849,40.0015478551367
250,12,2,20,14.3228552430298,5,25,3,357.022833637881,45.746825294823
250,20,2,20,13.3603646172071,5,25,3,324.36899379847,45.8527012824284
250,30,2,20,10.7943534406306,5,25,3,241.011439774243,45.8698768815847
250,12,2,20,13.2252612964409,5,50,3,641.055962413197,49.0711250660629
250,20,2,20,10.5605074590697,5,50,3,466.340398092335,48.9176782391094
250,30,2,20,7.79632315179291,5,50,3,297.354372828292,48.9500179949415
250,12,2,20,10.4225873406721,5,100,3,913.713793744259,50.9659395992144
250,20,2,20,7.65733544729269,5,100,3,573.184999264995,50.768957922106
250,30,2,20,6.79077802596246,5,100,3,452.47973056611,53.6296770771222
250,12,2,20,7.62940073820197,5,200,3,1133.81041990402,51.8663801593785
250,20,2,20,6.96406345650999,5,200,3,934.38220218823,55.5183291783726
250,30,2,20,6.46931803655119,5,200,3,751.57316133285,59.8105252892235
250,12,2,20,15.1250318068358,5,10,5,151.198781184784,37.0883698671634
250,20,2,20,14.9857735194882,5,10,5,149.517607763815,37.1195048665409
250,30,2,20,14.4393698750934,5,10,5,140.286256508027,37.3439319894397
250,12,2,20,14.2305335985724,5,25,5,353.168521666897,42.4868856912965
250,20,2,20,13.1793600490919,5,25,5,310.864904957666,42.5730379758361
250,30,2,20,10.8859385188808,5,25,5,224.557445851216,42.6047642231884
250,12,2,20,13.0464824411456,5,50,5,613.248220465786,45.091735462249
250,20,2,20,10.6794652535626,5,50,5,432.572553129965,44.9042565395268
250,30,2,20,8.37877874971637,5,50,5,274.192794188439,44.8900673532804
250,12,2,20,10.5658079702107,5,100,5,845.702038648636,46.3602177174116
250,20,2,20,8.32270250391667,5,100,5,534.511152764398,46.278943053428
250,30,2,20,8.06516719273266,5,100,5,459.475830899001,49.8860692211085
250,12,2,20,8.34539004132416,5,200,5,1068.78137407293,47.167489296596
250,20,2,20,8.22830363346089,5,200,5,944.740169014423,51.501048898003
250,30,2,20,7.70346524946094,5,200,5,699.343070235786,55.2469631920526
250,12,2,20,14.5856187375363,5,10,10,145.651137146396,32.212600275357
250,20,2,20,14.3196766540385,5,10,10,141.47512923228,32.2580938176426
250,30,2,20,13.587447846125,5,10,10,124.848160287734,32.4047789088334
250,12,2,20,14.0057626659482,5,25,10,340.043561494897,36.2433360967315
250,20,2,20,12.9024787148341,5,25,10,277.825492735769,36.3043834627093
250,30,2,20,11.2062194097248,5,25,10,190.234934041507,36.0593439786977
250,12,2,20,12.7754317814174,5,50,10,544.616789063411,37.7096040572093
250,20,2,20,11.0724238928324,5,50,10,363.929937871505,37.4213045012615
250,30,2,20,9.62493902430498,5,50,10,238.293520429683,37.7673550346302
250,12,2,20,11.0213576400225,5,100,10,712.019076341341,38.0913591367259
250,20,2,20,9.69712285483732,5,100,10,483.69168930701,38.7970443250281
250,30,2,20,10.3171565076153,5,100,10,454.026533609058,42.9547375853129
250,12,2,20,9.77718400681953,5,200,10,990.873373344432,39.7473577558648
250,20,2,20,10.4302585281177,5,200,10,911.691155329354,44.1567207874333
250,30,2,20,10.0702935429337,5,200,10,592.966989720859,46.7036470109259
250,12,2,20,14.47399847386,5,10,20,143.598266738044,26.6819856118688
250,20,2,20,14.035462708565,5,10,20,132.146318395522,26.7284937975265
250,30,2,20,13.2780632087283,5,10,20,105.534567045344,26.8073816335529
250,12,2,20,13.6737690458738,5,25,20,305.183352881526,28.6798218446136
250,20,2,20,12.7475850312057,5,25,20,222.151921774484,28.4567930563627
250,30,2,20,11.8654108884156,5,25,20,146.688239580201,28.3160532913924
250,12,2,20,12.6572975882964,5,50,20,430.838750640536,29.0064576423511
250,20,2,20,11.8261679976298,5,50,20,286.893801156539,29.0085582292874
250,30,2,20,11.9651733378289,5,50,20,236.11578355952,30.9644091568999
250,12,2,20,11.8334005770455,5,100,20,575.2735133811,29.9177755941808
250,20,2,20,12.1534285476784,5,100,20,488.094519833431,32.0660403922753
250,30,2,20,12.8169236167534,5,100,20,380.046588754849,34.5038690884476
250,12,2,20,12.2636454996158,5,200,20,995.846235271581,33.2382894901452
250,20,2,20,12.8904968335483,5,200,20,733.981580861312,35.4696942458811
250,30,2,20,12.9026137927905,5,200,20,450.588894829252,36.627323230013
500,12,2,20,16.299061248076,5,10,1,162.985991066099,26.916138496772
500,20,2,20,16.2053257081869,5,10,1,161.976891405184,26.9505268107582
500,30,2,20,13.7814626329993,5,10,1,135.21205060718,27.1939981053354
500,12,2,20,14.4140529066178,5,25,1,360.030365495131,41.7841052040951
500,20,2,20,12.7808218263498,5,25,1,314.225753984019,41.9466754243763
500,30,2,20,7.87848111007824,5,25,1,182.707633177545,42.0669347465302
500,12,2,20,13.1060927942792,5,50,1,647.659795401371,49.5466635699829
500,20,2,20,9.13848140385935,5,50,1,431.556731465506,49.5126624984389
500,30,2,20,5.03765421478787,5,50,1,213.46530537703,49.5666040084644
500,12,2,20,9.68424657205062,5,100,1,920.731767636342,54.0367367776115
500,20,2,20,5.89751597758962,5,100,1,514.851932988094,53.9259891042185
500,30,2,20,5.03500088558215,5,100,1,413.800610847728,58.3251908485918
500,12,2,20,6.31901697356807,5,200,1,1116.56052913125,56.3818730689119
500,20,2,20,5.2552501061134,5,200,1,874.561967572609,60.4465539660339
500,30,2,20,3.98317955902445,5,200,1,586.401532074614,65.1079448561248
500,12,2,20,15.6460332235394,5,10,3,156.43305993296,26.2513978490878
500,20,2,20,15.4724941945247,5,10,3,154.308163255746,26.299249974342
500,30,2,20,13.0895347455907,5,10,3,122.629431352141,26.5303505886693
500,12,2,20,14.2332443365743,5,25,3,354.220981006497,38.9683226860519
500,20,2,20,12.5176187287706,5,25,3,295.433255328711,39.0854659652488
500,30,2,20,8.24053018969854,5,25,3,164.368281932634,39.096730931198
500,12,2,20,12.8763140838584,5,50,3,616.620634673321,45.5210535056803
500,20,2,20,9.4041122041903,5,50,3,395.827321430653,45.4504279903276
500,30,2,20,6.06162049395813,5,50,3,194.819822709725,45.5257224591866
500,12,2,20,9.87081666580234,5,100,3,846.204485162214,49.1050911958173
500,20,2,20,6.82071013570781,5,100,3,472.803505000739,49.0263226649031
500,30,2,20,6.60123303263261,5,100,3,410.612158323376,54.0183696150663
500,12,2,20,7.21720322719439,5,200,3,1035.05062068355,50.9829428608963
500,20,2,20,6.86510166357736,5,200,3,887.915051315441,55.7969213729912
500,30,2,20,5.65081447739642,5,200,3,541.250543942794,59.9104088091562
500,12,2,20,15.1065405901641,5,10,5,150.995786929535,25.4596535520783
500,20,2,20,14.8473967793905,5,10,5,147.385798634395,25.5175170928112
500,30,2,20,12.5469527926727,5,10,5,111.50966397771,25.7326908033908
500,12,2,20,14.118686923918,5,25,5,349.04018807915,36.4964690552751
500,20,2,20,12.4010020924398,5,25,5,279.341632306011,36.5840776791989
500,30,2,20,8.68766600948536,5,25,5,150.915940316827,36.5874002665281
500,12,2,20,12.7148226616729,5,50,5,585.695030274113,42.0023409228644
500,20,2,20,9.68216139811137,5,50,5,364.345385101801,41.8491260082623
500,30,2,20,7.22326892624519,5,50,5,194.273554923128,42.6202479300806
500,12,2,20,10.0917745454937,5,100,5,780.370162804744,44.8116446924322
500,20,2,20,7.64665944875305,5,100,5,444.394806616789,44.961489751093
500,30,2,20,7.77034678551272,5,100,5,388.476224884686,50.2598186566699
500,12,2,20,8.01026749040491,5,200,5,979.896014053119,46.498298270545
500,20,2,20,8.14012632015903,5,200,5,882.788762811703,51.7424412041844
500,30,2,20,7.06435058105753,5,200,5,501.754304069171,55.3239933295323
500,12,2,20,14.5530125562072,5,10,10,145.231135447399,23.4589535964687
500,20,2,20,14.0961928815737,5,10,10,136.644390265816,23.5280471555934
500,30,2,20,12.0254944708628,5,10,10,92.9083829707615,23.660699074233
500,12,2,20,13.8599075400935,5,25,10,332.37578910057,31.3891785900201
500,20,2,20,12.2904412359777,5,25,10,243.570562007615,31.3896147399197
500,30,2,20,9.65760696959227,5,25,10,124.971822876152,31.3555514248508
500,12,2,20,12.5034371963373,5,50,10,513.351840817475,35.0158197441363
500,20,2,20,10.3887881208997,5,50,10,303.177141960172,34.7292679333788
500,30,2,20,9.60988024544535,5,50,10,202.637037862257,36.9969010636276
500,12,2,20,10.7018251087302,5,100,10,654.011605843957,36.5854145600915
500,20,2,20,9.58259589247654,5,100,10,438.121548605452,38.1905766506043
500,30,2,20,10.0133330653207,5,100,10,339.474670846497,42.7192553253684
500,12,2,20,9.61348793593572,5,200,10,930.812108217542,38.8928112788606
500,20,2,20,10.3061863620387,5,200,10,795.69178639749,43.8374419301012
500,30,2,20,9.73459262076645,5,200,10,422.818682249145,46.4043594922639
500,12,2,20,14.4148799846865,5,10,20,142.40659475144,20.1826520727648
500,20,2,20,13.7590444367887,5,10,20,122.694658386405,20.2546958116677
500,30,2,20,12.3451371948532,5,10,20,74.099348315375,20.3240818574627
500,12,2,20,13.5274010689481,5,25,20,292.384379239596,24.7533815268477
500,20,2,20,12.3781294283075,5,25,20,189.43111513148,24.6329831838604
500,30,2,20,11.1674860608722,5,25,20,99.4158999594349,24.8900249847445
500,12,2,20,12.4877380558804,5,50,20,400.44115788211,26.2416697114128
500,20,2,20,11.5217086364877,5,50,20,241.942495519607,26.4155821007907
500,30,2,20,12.4393832314557,5,50,20,201.98052676759,29.4070085818864
500,12,2,20,11.6919738171875,5,100,20,532.187575230436,27.3287184902141
500,20,2,20,12.4164589123642,5,100,20,449.119701883874,30.3267394250297
500,30,2,20,12.7607262403021,5,100,20,270.187292666313,32.8661071611815
500,12,2,20,12.3946843634047,5,200,20,952.162209458963,31.0455542731398
500,20,2,20,12.8721833071529,5,200,20,618.592449439809,33.63935372975
500,30,2,20,12.8534782379248,5,200,20,320.31541927592,34.9992842008045
1000,12,2,20,16.2525213832267,5,10,1,162.507963653182,14.3661992874735
1000,20,2,20,12.0857182211924,5,10,1,119.049879647339,14.5783371463473
1000,30,2,20,4.29066072605818,5,10,1,41.0377507634716,14.5797655630518
1000,12,2,20,14.0821916823305,5,25,1,350.843921022279,28.1985261366326
1000,20,2,20,7.78122483422967,5,25,1,183.99148436973,27.5256482295339
1000,30,2,20,2.8262689405718,5,25,1,62.6344118204911,22.455660487511
1000,12,2,20,11.7824814332141,5,50,1,573.896576966431,40.4973444292979
1000,20,2,20,5.21891137962759,5,50,1,230.143496036554,37.8387638763453
1000,30,2,20,3.05123677130098,5,50,1,130.902878497293,29.5699126008228
1000,12,2,20,8.1392873452131,5,100,1,754.571112969744,49.0168314151689
1000,20,2,20,4.16492507767946,5,100,1,341.192518131337,46.4965988686447
1000,30,2,20,2.75605360137939,5,100,1,219.565740447729,36.5527276604482
1000,12,2,20,5.22898053296215,5,200,1,884.811145439456,53.9315922500732
1000,20,2,20,4.22578430875461,5,200,1,668.677768999339,55.5530024492714
1000,30,2,20,2.19781176364363,5,200,1,304.812492541872,41.5715871843271
1000,12,2,20,15.5806331882514,5,10,3,155.714741640884,13.9028015917631
1000,20,2,20,11.4540599739695,5,10,3,108.886148962031,14.0853704664345
1000,30,2,20,4.00178860064865,5,10,3,34.4633677063235,13.8208317827586
1000,12,2,20,13.8178567949442,5,25,3,340.253277549021,27.2139217905005
1000,20,2,20,7.92891917998124,5,25,3,167.272105055254,26.3118842661028
1000,30,2,20,3.4753461020833,5,25,3,64.5898203438119,21.0440196128955
1000,12,2,20,11.6823594813775,5,50,3,536.557495206263,37.7804393484111
1000,20,2,20,5.86697572301524,5,50,3,206.695538298684,34.9754613156909
1000,30,2,20,3.76580636934847,5,50,3,127.511914983576,27.4292358870961
1000,12,2,20,8.57179740002545,5,100,3,686.677020969275,44.8811980613299
1000,20,2,20,5.60713761828481,5,100,3,354.577873999037,43.2710882941982
1000,30,2,20,3.59891714483254,5,100,3,206.09478905206,33.1985037204145
1000,12,2,20,6.34483413905165,5,200,3,827.604175393997,49.1284435682429
1000,20,2,20,5.55745181104174,5,200,3,621.966334719377,51.1971133998021
1000,30,2,20,3.21173474998835,5,200,3,277.978368923416,37.3957425258766
1000,12,2,20,15.0176547951282,5,10,5,149.937708434311,13.6539513667647
1000,20,2,20,10.9153022926385,5,10,5,99.6384710420669,13.7899135667931
1000,30,2,20,3.864801137764,5,10,5,29.8745095124765,13.0350861734954
1000,12,2,20,13.6521354336067,5,25,5,330.356858385942,26.2354572803308
1000,20,2,20,8.1711650100482,5,25,5,154.687213534745,25.1633908271306
1000,30,2,20,3.98120046139593,5,25,5,64.9800135821598,19.8113551577604
1000,12,2,20,11.6488725171032,5,50,5,502.226849068501,35.295097848489
1000,20,2,20,6.43351695461038,5,50,5,187.80129542294,32.4310603200248
1000,30,2,20,4.35503297129624,5,50,5,123.802297704209,25.5865030876614
1000,12,2,20,8.98280396131844,5,100,5,628.389337871015,41.226522707326
1000,20,2,20,6.78112572564656,5,100,5,365.089727841122,40.4128846470519
1000,30,2,20,4.29275014780249,5,100,5,193.780408870457,30.3449702983432
1000,12,2,20,7.37728604089208,5,200,5,809.773033904876,45.2876110604098
1000,20,2,20,6.67247219162265,5,200,5,580.638524064523,47.3554687510024
1000,30,2,20,4.02260251293134,5,200,5,255.411478067734,33.9116404081419
1000,12,2,20,14.4030028991274,5,10,10,142.940828673801,13.4921916315298
1000,20,2,20,10.3345584367004,5,10,10,84.6038448738757,13.460063816871
1000,30,2,20,4.17880454605266,5,10,10,26.6635483305495,11.5664401482548
1000,12,2,20,13.3601168045171,5,25,10,303.790963649429,23.8445693043217
1000,20,2,20,8.70695574284546,5,25,10,129.018925518527,22.4677546085335
1000,30,2,20,4.94550520111859,5,25,10,64.8521235380645,17.3448292496618
1000,12,2,20,11.7188792962865,5,50,10,428.905839321992,30.0538530379254
1000,20,2,20,7.67094095184159,5,50,10,161.277552228889,27.6222614537956
1000,30,2,20,5.437415842583,5,50,10,114.323813342163,21.8617356764083
1000,12,2,20,9.94265204972626,5,100,10,522.745605368555,33.9937719721226
1000,20,2,20,8.79797887010052,5,100,10,362.005151371428,34.5727558326628
1000,30,2,20,5.57235113496304,5,100,10,167.585889001777,25.2985360610377
1000,12,2,20,9.82174583322676,5,200,10,868.494795226461,38.8549932613758
1000,20,2,20,8.76471312828334,5,200,10,496.136362511096,39.6559623867897
1000,30,2,20,5.49950932781342,5,200,10,211.885282694597,27.5370443445402
1000,12,2,20,14.1870367606225,5,10,20,136.531142854822,12.7764903462612
1000,20,2,20,10.4491342449258,5,10,20,70.0758702667182,12.4536783665946
1000,30,2,20,5.13814467459136,5,10,20,27.1552034729378,9.99706649758674
1000,12,2,20,13.1042688548777,5,25,20,253.545487258138,19.7514768330567
1000,20,2,20,9.46331937205902,5,25,20,96.2595570644345,18.1906390226313
1000,30,2,20,6.14651317159512,5,25,20,61.7449421535109,14.0759382369857
1000,12,2,20,12.0524594341154,5,50,20,325.663819379166,23.1435476289518
1000,20,2,20,10.22193556012,5,50,20,180.15291780034,22.6168984089327
1000,30,2,20,6.69331297010823,5,50,20,97.5213376775679,16.9093013965917
1000,12,2,20,11.3720251729831,5,100,20,437.633757544845,25.6122047003024
1000,20,2,20,11.063352011919,5,100,20,300.252608635031,26.8116022116891
1000,30,2,20,6.97609581726464,5,100,20,131.09147590006,18.9309640199778
1000,12,2,20,12.6340786926639,5,200,20,851.261738868352,30.1080940317538
1000,20,2,20,11.2613618463295,5,200,20,381.930760732586,29.6576787096203
1000,30,2,20,7.09640340513815,5,200,20,156.720391796653,20.2010539740404
2000,12,2,20,10.6152339497349,5,10,1,105.240017526726,7.38822008339093
2000,20,2,20,2.69563487075431,5,10,1,26.0032866090686,7.39826613249674
2000,30,2,20,1.20631702504017,5,10,1,11.2247830368994,6.71104483590908
2000,12,2,20,7.85987105693593,5,25,1,190.575526475922,15.220612804026
2000,20,2,20,1.68235982455507,5,25,1,37.5184746752564,12.4895831393161
2000,30,2,20,1.27116500956794,5,25,1,28.0072961946843,11.1135033516671
2000,12,2,20,5.93948631163218,5,50,1,276.385499030803,25.0245058374877
2000,20,2,20,2.17631908937105,5,50,1,95.4660397122792,18.8744678968461
2000,30,2,20,1.36106624206533,5,50,1,57.1139626876506,15.5600673674817
2000,12,2,20,3.96377193985425,5,100,1,339.507677240849,33.4889115650914
2000,20,2,20,2.43111930885575,5,100,1,204.639441371549,25.6437838647309
2000,30,2,20,1.28132587360865,5,100,1,98.3063420465814,19.7841862225226
2000,12,2,20,3.99831329493037,5,200,1,664.86048631918,42.6069290835053
2000,20,2,20,2.15397130468758,5,200,1,332.310672252313,31.1498424218679
2000,30,2,20,1.06862418380789,5,200,1,140.374774493553,22.7313958505508
2000,12,2,20,10.0154830474819,5,10,3,97.3187038910365,7.1267015609874
2000,20,2,20,2.48079518345042,5,10,3,21.933339482986,7.09838783066206
2000,30,2,20,1.38942741736981,5,10,3,11.3702278796016,6.31823491837932
2000,12,2,20,7.79671307664844,5,25,3,177.058967775472,15.0130135558458
2000,20,2,20,2.15582381031101,5,25,3,41.3826972094408,11.8191117471828
2000,30,2,20,1.58231149307358,5,25,3,28.9382264612652,10.3394571263017
2000,12,2,20,6.20763666740449,5,50,3,251.017414012421,23.7103643130322
2000,20,2,20,2.72055010843751,5,50,3,98.8006453850692,17.5522030425218
2000,30,2,20,1.73016694907776,5,50,3,56.4330852420004,14.0687393784033
2000,12,2,20,4.60282891046244,5,100,3,303.502988390792,30.5933196139525
2000,20,2,20,3.03648815128839,5,100,3,197.3995461228,23.5631433294326
2000,30,2,20,1.7132860833895,5,100,3,91.7613909226936,17.4787886418062
2000,12,2,20,5.28121996606642,5,200,3,691.239351665721,39.4424282570536
2000,20,2,20,2.8844878314692,5,200,3,307.103311325337,28.1490290705996
2000,30,2,20,1.59765046314655,5,200,3,126.865889413366,19.9213166576701
2000,12,2,20,9.49816410093991,5,10,5,90.2085788507595,6.9589031003989
2000,20,2,20,2.36730159662823,5,10,5,19.0836041823132,6.75584751760776
2000,30,2,20,1.54978243799627,5,10,5,11.5670980940234,6.05092337184587
2000,12,2,20,7.83238252929997,5,25,5,166.519644097729,14.716391042909
2000,20,2,20,2.53849576189188,5,25,5,43.9562561619488,11.2444628039943
2000,30,2,20,1.83481375247074,5,25,5,29.4665255627562,9.66859808400483
2000,12,2,20,6.45743470339063,5,50,5,228.94582311721,22.4221590743982
2000,20,2,20,3.16762400537197,5,50,5,100.674653946253,16.4243370621624
2000,30,2,20,2.01927565870598,5,50,5,55.1372686573384,12.860294153654
2000,12,2,20,5.1867480798235,5,100,5,279.021867418404,28.2692702943833
2000,20,2,20,3.52404225436682,5,100,5,189.792741038921,21.738415418162
2000,30,2,20,2.0468093334513,5,100,5,86.0175817079946,15.6385488116569
2000,12,2,20,6.22844499566266,5,200,5,687.562104665836,36.6462904013469
2000,20,2,20,3.47562601087568,5,200,5,284.349286840741,25.7003292237881
2000,30,2,20,1.99261394733474,5,200,5,115.548034014976,17.6448292721708
2000,12,2,20,8.9449666697457,5,10,10,79.8310586850779,6.85825384651428
2000,20,2,20,2.45815317123425,5,10,10,16.5123220196217,6.02726974480819
2000,30,2,20,1.88563817394225,5,10,10,11.9765866058654,5.49951525178171
2000,12,2,20,7.95199566683644,5,25,10,143.946536299426,13.7791615781405
2000,20,2,20,3.28981206008677,5,25,10,48.3104674958304,10.1134517736193
2000,30,2,20,2.29878875878237,5,25,10,29.703348678019,8.35711498394512
2000,12,2,20,6.98157806116755,5,50,10,185.965903048224,19.4779679125277
2000,20,2,20,3.99918887419121,5,50,10,101.007237018637,14.2005954033634
2000,30,2,20,2.52445744377615,5,50,10,50.9829254377535,10.6282667781343
2000,12,2,20,7.03243814459116,5,100,10,308.208138161795,24.8257483980399
2000,20,2,20,4.40642571639491,5,100,10,171.13045537703,18.0861532672655
2000,30,2,20,2.62345616044258,5,100,10,74.2643258890875,12.4507625986038
2000,12,2,20,7.84279015149343,5,200,10,613.481771952359,30.9714787625666
2000,20,2,20,4.51403823674359,5,200,10,238.396516272551,20.9207374227652
2000,30,2,20,2.64428203888685,5,200,10,94.2195230646797,13.6911191251682
2000,12,2,20,8.95663147347264,5,10,20,70.6959486463364,6.71721825895168
2000,20,2,20,3.14730958060932,5,10,20,18.2995200875696,5.35635413013394
2000,30,2,20,2.35385830714188,5,10,20,12.4049800081542,4.73829016891529
2000,12,2,20,8.20215218403015,5,25,20,111.657802470502,11.8277021733634
2000,20,2,20,4.26922309878578,5,25,20,51.431655152364,8.5552866842526
